Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Market Cap
2013/6/1,1.2882,1.2978,1.272,1.293,0,1451916165
2013/6/2,1.293,1.294,1.1505,1.2229,0,1373837500
2013/6/3,1.225,1.225,1.16,1.2222,0,1373708058
2013/6/4,1.2074,1.2384,1.191,1.2142,0,1365337545
2013/6/5,1.214,1.2347,1.199,1.2165,0,1368486469
2013/6/6,1.219,1.231,1.1725,1.18,0,1327960200
2013/6/7,1.1897,1.19,1.0642,1.115,0,1255258638
2013/6/8,1.11,1.1142,1.073,1.083,0,1219717920
2013/6/9,1.0789,1.0899,0.885,1,0,1126642500
2013/6/10,1.0044,1.101,0.95,1.0635,0,1198638945
2013/6/11,1.0635,1.096,1.04,1.089,0,1227874725
2013/6/12,1.09,1.1179,1.0673,1.0815,0,1219969853
2013/6/13,1.0878,1.103,1.0053,1.04,0,1173637400
2013/6/14,1.0395,1.047,0.98,0.9998,0,1128709292
2013/6/15,1,1.037,0.98,0.9999,0,1129245604
2013/6/16,0.998,1.016,0.9895,0.9951,0,1124306272
2013/6/17,0.999,1.0221,0.99,1.017,0,1149418485
2013/6/18,1.0195,1.1111,1.0103,1.074,0,1214216070
2013/6/19,1.0705,1.1022,1.0575,1.0825,0,1224193838
2013/6/20,1.0825,1.143,1.075,1.1015,0,1246104920
2013/6/21,1.1129,1.1499,1.0768,1.095,0,1239214238
2013/6/22,1.095,1.0996,1.0751,1.083,0,1226110328
2013/6/23,1.082,1.088,1.0623,1.076,0,1218626490
2013/6/24,1.079,1.0833,1.0098,1.0274,0,1163935726
2013/6/25,1.0209,1.0647,1.0101,1.0395,0,1178086140
2013/6/26,1.0333,1.0549,1.0279,1.04,0,1179105200
2013/6/27,1.04,1.04,1.011,1.0144,0,1150468023
2013/6/28,1.0174,1.0174,0.9233,0.9465,0,1073887457
2013/6/29,0.9466,0.9999,0.93,0.9499,0,1078198524
2013/6/30,0.95,0.9812,0.9422,0.9661,0,1096957771
2013/7/1,0.9751,0.9766,0.863,0.8805,0,1000065296
2013/7/2,0.8805,0.923,0.8751,0.9013,0,1024082228
2013/7/3,0.904,0.9098,0.7698,0.7753,0,881233116
2013/7/4,0.7889,0.8311,0.72,0.8053,0,915618609
2013/7/5,0.7999,0.8,0.6553,0.6843,0,778411179
2013/7/6,0.685,0.75,0.6682,0.7028,0,799741619
2013/7/7,0.6875,0.7456,0.6662,0.7456,0,848838979
2013/7/8,0.765,0.8,0.726,0.7652,0,871457940
2013/7/9,0.76,0.783,0.7252,0.7669,0,873841849
2013/7/10,0.7672,0.87,0.762,0.8676,0,988957719
2013/7/11,0.88,0.9028,0.8508,0.8898,0,1014650063
2013/7/12,0.8898,1.04,0.8817,0.9359,0,1067634684
2013/7/13,0.9399,0.9825,0.8806,0.9813,0,1119796120
2013/7/14,0.987,0.987,0.9286,0.9469,0,1080917760
2013/7/15,0.9361,1.019,0.9311,0.984,0,1123658944
2013/7/16,0.9889,0.9986,0.9614,0.9745,0,1113217032
2013/7/17,0.9671,0.9997,0.9618,0.985,0,1125658000
2013/7/18,0.985,0.988,0.862,0.9058,0,1035512825
2013/7/19,0.9007,0.952,0.878,0.9217,0,1054083771
2013/7/20,0.92,0.931,0.8927,0.8939,0,1022707665
2013/7/21,0.8982,0.9195,0.88,0.9076,0,1038798980
2013/7/22,0.92,0.92,0.9008,0.9161,0,1048939081
2013/7/23,0.916,0.9682,0.916,0.9556,0,1094484058
2013/7/24,0.9556,0.9599,0.93,0.9451,0,1082848325
2013/7/25,0.945,0.9733,0.9387,0.969,0,1110587858
2013/7/26,0.9695,0.9747,0.96,0.9602,0,1100902800
2013/7/27,0.9602,0.97,0.93,0.9412,0,1079491697
2013/7/28,0.944,1.0058,0.94,0.9976,0,1144602838
2013/7/29,0.986,1.025,0.9846,1.012,0,1161619140
2013/7/30,1.0149,1.0799,1.0047,1.0799,0,1240092366
2013/7/31,1.0795,1.1134,1.0388,1.0609,0,1218777834
2013/8/1,1.0621,1.08,1.0301,1.04,0,1195225200
2013/8/2,1.0486,1.08,1.0121,1.045,0,1201487185
2013/8/3,1.045,1.0578,1.02,1.04,0,1196226508
2013/8/4,1.0495,1.0595,1.0352,1.0514,0,1209797378
2013/8/5,1.0512,1.0777,1.05,1.0622,0,1222677176
2013/8/6,1.0672,1.0738,1.0556,1.0675,0,1229098150
2013/8/7,1.0675,1.0675,1.0675,1.0675,0,1229098150
2013/8/8,1.0675,1.0675,1.0126,1.03,0,1187105900
2013/8/9,1.0307,1.0575,1.0193,1.028,0,1185307130
2013/8/10,1.028,1.039,1.0241,1.03,0,1188153925
2013/8/11,1.03,1.0519,1.0275,1.05,0,1211789250
2013/8/12,1.05,1.08,1.035,1.0664,0,1231248581
2013/8/13,1.0699,1.0935,1.0465,1.09,0,1259042650
2013/8/14,1.0956,1.15,1.08,1.1256,0,1300656724
2013/8/15,1.1256,1.1325,1.09,1.0999,0,1271404657
2013/8/16,1.1,1.123,1.0852,1.0899,0,1260352119
2013/8/17,1.0899,1.1375,1.0822,1.135,0,1312996375
2013/8/18,1.1275,1.1469,1.12,1.135,0,1313544013
