,0
0,0.054036684
1,0.040668562
2,0.03995142
3,0.03401225
4,0.040495243
5,0.010588327
6,-0.06404099
7,-0.0661571
8,-0.11587437
9,-0.1330439
10,-0.14339505
11,-0.10349772
12,-0.107629485
13,-0.05164174
14,0.12360998
15,-0.018325288
16,0.023609577
17,0.042732235
18,0.019737467
19,-0.05803402
20,-0.042456374
21,-0.034361392
22,-0.023914326
23,-0.0626156
24,-0.05220541
25,-0.043894768
26,-0.055676732
27,-0.030365255
28,0.027463207
29,0.018949222
30,0.022257926
31,0.008153432
32,-0.0008799757
33,0.010660074
34,-0.015527644
35,-0.04245739
36,-0.014861846
37,0.03180781
38,0.08908347
39,0.062325027
40,0.07616998
41,0.103866234
42,0.10087388
43,0.07078393
44,0.070753515
45,0.09257977
46,0.067736894
47,0.0065906257
48,0.00051048945
49,0.009764236
50,-0.0086664185
51,-0.020947844
52,-0.011352734
53,0.040317092
54,0.020161025
55,-0.0072484505
56,-0.028193802
57,-0.0599934
58,-0.08199389
59,-0.072685555
60,-0.040073726
61,-0.019977499
62,-0.020582724
63,0.011790564
64,0.05333137
65,0.004580282
66,-0.0057453024
67,0.010615042
68,0.0030487233
69,-0.0020226564
70,0.0014201405
71,-0.0033527957
72,-0.011277785
73,-0.0040024263
74,-0.011619017
75,-0.0017473043
76,-0.010476504
77,0.018884216
78,0.019313939
79,0.010688444
80,0.035931926
81,0.013135515
82,-0.0071918685
83,-0.00604277
84,-0.00024223232
85,-0.002542601
86,-0.013323447
87,-0.008854193
88,0.013234693
89,0.02619201
90,0.018184742
91,0.010773218
92,-0.003992385
93,-0.006445022
94,0.0102147935
95,-0.002884808
96,0.0031932266
97,-0.00018960702
98,0.0051742434
99,0.02124941
100,0.019268157
101,0.009580186
102,0.00868557
103,0.029709443
104,0.039989255
105,0.046413377
106,0.035883106
107,0.05464911
108,0.0720059
109,0.058433704
110,0.056646258
111,-0.012715608
112,0.006030262
113,0.011160805
114,-0.016582819
115,-0.02218064
116,-0.049861815
117,0.009975342
118,-0.009266389
119,-0.021058789
120,0.028768344
121,0.011609437
122,0.03206476
123,0.02340366
124,0.005564964
125,0.0077703125
126,-0.0070790276
127,-0.0038048325
128,-0.006736369
129,-0.009550674
130,0.0026542263
131,-0.0022448883
132,-0.0029595348
133,-0.043491457
134,-0.03201989
135,-0.036589738
136,-0.033145186
137,-0.019596187
138,-0.015882513
139,0.02649644
140,0.025800908
141,0.07036525
142,0.19352357
143,0.18444227
144,0.20016341
145,0.17766726
146,0.17842509
147,0.13944411
148,0.078753725
149,0.0903229
150,0.07489787
151,0.10465712
152,0.07255289
153,0.077241786
154,0.009097799
155,0.008685335
156,0.05725877
157,0.135413
158,0.21247846
159,0.16658449
160,0.2072178
161,0.2872055
162,0.20089114
163,0.13191012
164,0.08089618
165,0.07026078
166,-0.080896735
167,-0.21573377
168,-0.16601017
169,-0.11247816
170,-0.1240185
171,-0.1445733
172,-0.018284688
173,0.09233467
174,0.029049594
175,0.012269175
176,0.012819418
177,0.11760467
178,-0.0012002916
179,0.057696316
180,0.055560373
181,0.007532598
182,-0.060806263
183,-0.063305646
184,-0.010241334
185,-0.05225476
186,-0.030828197
187,-0.01756218
188,0.022625498
189,-0.013523611
190,0.021739444
191,0.015801053
192,0.04716697
193,0.012225306
194,0.026316285
195,0.014591587
196,0.00032586878
197,-0.027146291
198,-0.03945827
199,-0.014018327
200,-0.029269185
201,-0.015146567
202,-0.025093561
203,0.0068319165
204,0.0018360827
205,-0.009128949
206,-0.04844499
207,-0.068829104
208,-0.15075558
209,-0.13229094
210,-0.10843706
211,-0.110904954
212,-0.06366397
213,-0.028482258
214,0.081454806
215,0.037004992
216,0.023100859
217,0.020350877
218,-0.002601489
219,-0.013274999
220,-0.034904674
221,-0.03659501
222,-0.023318078
223,-0.024322838
224,-0.021209523
225,-0.019191362
226,0.019448077
227,0.024351772
228,0.015488964
229,0.01564739
230,0.008662691
231,0.0060639693
232,-0.007281765
233,-0.0040819743
234,-0.021291092
235,-0.02147499
236,-0.010457009
237,-0.0016852795
238,-0.003735407
239,0.0081967665
240,0.027583703
241,0.056220304
242,0.05050476
